zone_id,latitude,longitude,soil_moisture_0_7cm,soil_moisture_7_28cm,fetched_at,data_source
Z_24.5_92.0,24.5,92.0,0.435,0.419,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_94.0,24.5,94.0,0.406,0.431,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_92.5,24.5,92.5,0.416,0.401,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_95.5,24.5,95.5,0.475,0.483,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_94.5,24.5,94.5,0.386,0.386,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_95.0,24.5,95.0,0.486,0.492,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_96.0,24.5,96.0,0.465,0.48,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_97.0,24.5,97.0,0.505,0.505,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_96.5,24.5,96.5,0.405,0.411,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_97.5,24.5,97.5,0.517,0.511,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_25.0_88.0,25.0,88.0,0.419,0.413,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
